"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","U4943000","U4950200","U5753500","Z9061912"
1,2,9,1981,1,4,-5,-5,-5,-4
2,1,7,1982,1,2,39,2,115000,46
3,2,9,1983,1,2,38,4,-4,0
4,2,2,1981,1,2,40,2,45000,51
5,1,10,1982,1,2,38,2,150000,43
6,2,1,1982,1,2,39,2,25000,40
7,1,4,1983,1,2,-5,-5,-5,-4
8,2,6,1981,1,4,41,5,70000,52
9,1,10,1982,1,4,39,5,120000,52
10,1,3,1984,1,4,37,4,135000,42
11,2,6,1982,1,2,39,4,48000,52
12,1,10,1981,1,2,40,1,92000,44
13,1,11,1984,1,2,-5,-5,-5,-4
14,1,7,1980,1,2,41,1,-4,0
15,2,1,1983,1,2,-5,-5,-5,-4
16,1,2,1982,1,2,39,3,100000,46
17,2,11,1981,1,2,-5,-5,-5,-4
18,1,2,1982,1,1,39,1,-4,0
19,1,4,1984,1,1,37,-3,48000,52
20,1,12,1980,1,1,-5,-5,-5,-4
21,1,8,1982,1,2,39,1,30000,39
22,1,6,1982,1,2,39,2,65000,52
23,2,1,1983,1,2,38,4,91000,45
24,1,6,1984,1,2,38,0,-4,0
25,2,3,1983,1,2,38,1,-4,4
26,1,10,1980,1,1,40,0,-4,0
27,1,5,1981,1,1,40,0,25000,40
28,2,11,1983,1,1,38,4,60000,52
29,2,1,1983,1,4,-5,-5,-5,-4
30,1,6,1981,1,4,-5,-5,-5,-4
31,1,7,1982,1,4,39,4,120000,41
32,2,7,1981,1,4,40,4,120000,40
33,2,12,1980,1,4,40,4,10000,44
34,2,12,1984,1,4,36,4,-4,0
35,1,1,1983,1,4,38,4,52000,42
36,2,8,1980,1,4,-5,-5,-5,-4
37,2,11,1980,1,4,40,4,75000,47
38,2,9,1981,1,4,40,4,70000,47
39,1,2,1980,1,2,-5,-5,-5,-4
40,2,5,1984,1,4,-5,-5,-5,-4
41,2,1,1983,1,4,38,4,85000,40
42,1,8,1983,1,4,-5,-5,-5,-4
43,2,10,1981,1,1,40,1,-4,0
44,1,12,1981,1,2,39,2,-4,0
45,2,2,1984,1,1,37,3,46000,42
46,1,2,1984,1,1,37,1,-4,0
47,2,9,1982,1,1,39,2,20000,39
48,2,7,1983,1,1,38,4,76000,52
49,2,12,1982,1,1,39,2,18000,52
50,2,2,1983,1,1,38,1,36000,46
51,1,6,1980,1,1,41,2,56000,-3
52,1,12,1983,1,1,37,2,60000,44
53,2,4,1984,1,1,-5,-5,-5,-4
54,2,12,1984,1,1,36,3,40000,43
55,2,2,1981,1,2,40,4,54000,50
56,2,2,1982,1,4,39,5,100000,49
57,1,12,1982,1,1,38,2,-4,39
58,1,11,1983,1,1,38,3,120000,52
59,2,4,1981,1,1,40,3,11000,43
60,1,1,1984,1,4,38,5,40000,0
61,2,5,1983,1,1,38,3,2500,0
62,1,3,1980,1,1,41,4,15000,44
63,2,10,1984,1,1,36,4,56000,39
64,1,3,1980,1,1,41,2,120000,42
65,1,4,1984,1,1,37,4,-4,52
66,1,10,1980,1,1,-5,-5,-5,-4
67,1,11,1980,1,1,40,6,100000,43
68,1,1,1981,1,1,41,2,12000,51
69,2,7,1981,1,1,40,4,120000,52
70,1,8,1982,1,1,-5,-5,-5,-4
71,1,1,1980,1,1,42,2,30000,52
72,2,4,1982,1,1,39,3,-4,0
